field_id,date_of_image,latitude,longitude,NDVI,GNDVI,NDWI,SAVI,soil_moisture,temperature,rainfall,crop_type,N,P,K,pH,humidity,yield
Field_1,2023-12-11,22.62523109,88.49792521,0.52930736,0.50498788,-0.50498788,0.79383313,19.87173275,12.30010937,10.59880157,Rice,84.81519389,39.96206240,30.18612704,7.42081474,84.23525490,39.26865558
Field_1,2023-11-27,22.62523109,88.49792521,0.42228870,0.40897899,-0.40897899,0.63331413,25.86733441,27.22968767,16.87002572,Rice,79.20561427,37.40987779,49.16998431,6.83133625,90.34290141,50.55682916
Field_1,2023-12-12,22.62523109,88.49792521,0.50173126,0.48250344,-0.48250344,0.75246179,21.30151768,8.42731778,10.40500137,Rice,86.34753239,33.82670078,41.39110603,7.11404293,81.15033465,38.45490555
Field_1,2023-12-27,22.62523109,88.49792521,0.44592639,0.43089442,-0.43089442,0.66875136,24.50682826,14.34964174,16.74302073,Rice,79.16098382,48.10469783,50.70210337,6.96537050,89.92854617,51.04716572
Field_2,2023-01-16,25.37877892,83.01640486,0.27916743,0.30695067,-0.30695067,0.41869727,32.53902625,10.48604637,15.38547851,Rice,76.84065146,46.50968419,52.63098005,6.59525549,80.81970079,45.79952126
Field_2,2023-01-31,25.37877892,83.01640486,0.35230407,0.38993031,-0.38993031,0.52838553,27.55478778,7.15824618,15.79471681,Rice,78.13301885,49.48897046,51.74215662,7.30433781,88.67601036,47.55221364
Field_2,2023-02-15,25.37877892,83.01640486,0.29743809,0.35541373,-0.35541373,0.44609668,29.87769423,5.36058861,15.70346137,Rice,71.47612722,48.88742274,53.80432559,6.47178738,85.78916785,45.92471357
Field_2,2023-02-03,25.37877892,83.01640486,0.30483653,0.35975130,-0.35975130,0.45719754,29.58064007,10.31998996,15.43910284,Rice,88.26567801,31.93117370,40.38584138,6.67995516,79.00065626,45.99774242
Field_2,2023-03-17,25.37877892,83.01640486,0.29501873,0.33264629,-0.33264629,0.44247341,31.06500775,24.80185578,15.61220594,Rice,68.59242827,36.50890401,32.71002546,6.64335748,92.11604065,46.13336743
Field_2,2023-01-04,25.37877892,83.01640486,0.32433212,0.35809538,-0.35809538,0.48644193,29.46609228,10.67081945,15.23119097,Rice,84.71128500,41.27059065,47.51097845,6.43338453,87.37574962,46.65500206
Field_2,2023-04-16,25.37877892,83.01640486,0.25239358,0.30941692,-0.30941692,0.37854904,32.68652662,24.46960053,8.58365574,Rice,67.97872515,41.26992818,45.53815526,6.92149576,74.36363201,30.98509753
Field_2,2023-01-05,25.37877892,83.01640486,0.34401170,0.37497827,-0.37497827,0.51596378,28.40299316,8.00461875,5.36055134,Rice,78.55313005,43.22137371,39.31890270,7.12660974,96.93321594,43.92163656
Field_2,2023-05-16,25.37877892,83.01640486,0.27080368,0.32377844,-0.32377844,0.40616568,31.76514447,11.70462216,8.71442384,Rice,80.90647104,41.93759154,33.61682841,7.50466998,93.50892622,31.46500139
Field_2,2023-05-31,25.37877892,83.01640486,0.27358264,0.32262366,-0.32262366,0.41033461,31.79573154,26.50252718,8.74170639,Rice,59.08580515,34.58023328,40.80178293,6.52094321,83.27281080,31.59019371
Field_2,2023-06-15,25.37877892,83.01640486,0.21756692,0.27892941,-0.27892941,0.32631882,34.59903245,26.13669465,8.34469820,Rice,90.81614119,43.49664900,40.33916672,6.45527589,77.51906268,30.11918403
Field_2,2023-08-29,25.37877892,83.01640486,0.49578519,0.46349431,-0.46349431,0.74359760,22.33293371,29.83822159,17.43072923,Rice,86.26187524,38.21664013,25.69651378,7.59000000,97.63256414,52.85202157
Field_2,2023-09-28,25.37877892,83.01640486,0.50307006,0.46374539,-0.46374539,0.75449865,22.24571278,24.13354742,16.67528474,Rice,78.80024244,27.37000000,54.54248383,6.44343983,81.27586970,52.70596387
Field_2,2023-10-13,25.37877892,83.01640486,0.45284795,0.43041238,-0.43041238,0.67918589,24.46075439,26.78854948,10.09078161,Rice,86.23296634,34.74691056,38.74975791,7.03154707,88.55818308,37.20298242
Field_2,2023-10-28,25.37877892,83.01640486,0.45524756,0.47641537,-0.47641537,0.68278021,22.08713363,18.24981266,16.86155872,Rice,79.03260419,30.01354750,50.37778679,6.81627076,75.05925375,50.76548302
Field_2,2023-12-11,25.37877892,83.01640486,0.24705606,0.25797787,-0.25797787,0.37054217,35.36774049,13.18674182,14.82289345,Rice,70.30923187,62.25151774,56.07805477,6.69875973,87.12739804,45.01706930
Field_2,2023-11-27,25.37877892,83.01640486,0.33773005,0.38247781,-0.38247781,0.50652680,28.08418740,10.67075885,15.44004362,Rice,87.15898533,62.29383981,33.14345320,7.59000000,76.53916091,46.90538669
Field_2,2023-12-12,25.37877892,83.01640486,0.36050107,0.37262656,-0.37262656,0.54067646,28.35467794,7.31108010,9.40119156,Rice,69.81278844,49.53162756,32.92750057,7.20875708,85.43950003,34.16706882
Field_2,2023-12-27,25.37877892,83.01640486,0.21581649,0.20235622,-0.20235622,0.32368465,38.52707084,14.29143827,14.92167510,Rice,68.89159216,42.60610430,37.81938714,6.54082171,74.80729217,44.73538660
Field_3,2023-01-31,30.87054253,76.70892965,0.57159519,0.56251936,-0.56251936,0.85719803,16.50204369,2.42212932,10.84152222,Rice,60.07593907,54.41961084,41.83802519,7.35195262,90.66689563,40.13456908
Field_3,2023-02-15,30.87054253,76.70892965,0.58070780,0.57548284,-0.57548284,0.87093431,15.74700580,2.14765044,10.89232421,Rice,69.84349265,50.41259512,58.64660641,7.33600941,97.72394219,40.31192486
Field_3,2023-02-03,30.87054253,76.70892965,0.55203518,0.56319062,-0.56319062,0.82793674,16.66753044,4.32713926,10.66465601,Rice,60.52714273,48.87808848,63.32619548,7.59000000,78.55530416,39.27908828
Field_3,2023-03-17,30.87054253,76.70892965,0.49497962,0.50594518,-0.50594518,0.74236294,20.17343393,14.52483839,9.45857900,Rice,74.95295990,45.72568859,59.96558440,6.64114595,99.15248977,47.72956942
Field_3,2023-01-04,30.87054253,76.70892965,0.49349952,0.50922217,-0.50922217,0.74014243,20.02121235,-4.03187602,16.97445205,Rice,68.71561661,47.77940073,39.91981515,7.17661633,85.58203404,51.78788691
Field_3,2023-04-16,30.87054253,76.70892965,0.43457814,0.48743974,-0.48743974,0.65178205,21.73527529,19.51012847,9.79349586,Rice,65.69109923,45.28312960,38.77228021,6.32176584,94.70096445,35.43985734
Field_3,2023-01-05,30.87054253,76.70892965,0.45996440,0.47707212,-0.47707212,0.68985596,22.00542446,-2.71907459,16.55392441,Rice,73.94243712,44.23679594,55.65092734,6.95074307,75.38400404,50.76548302
Field_3,2023-05-16,30.87054253,76.70892965,0.38866607,0.43761347,-0.43761347,0.58292577,24.74851650,10.02258994,16.38740676,Rice,81.71030529,51.35524970,58.34000705,6.93514227,79.55235621,48.54331946
Field_3,2023-05-31,30.87054253,76.70892965,0.46962987,0.47354799,-0.47354799,0.70435590,22.08666981,3.65249478,16.35636110,Rice,69.63814352,66.04806235,49.47511736,7.03517715,90.27118344,51.08889649
Field_3,2023-06-15,30.87054253,76.70892965,0.36846311,0.40732847,-0.40732847,0.55263102,26.50133112,19.33520352,16.41092620,Rice,72.27578975,46.79973180,38.97320806,7.05416462,76.54765277,48.25120406
Field_3,2023-08-29,30.87054253,76.70892965,0.63684908,0.59105835,-0.59105835,0.95515205,14.37828846,22.92156592,11.35706840,Rice,58.09750060,62.18232678,27.45009972,7.10525299,88.47818254,42.49235765
Field_3,2023-09-13,30.87054253,76.70892965,0.63684908,0.59105835,-0.59105835,0.95515205,14.37828846,20.48778906,17.87101319,Rice,89.84253641,37.21231073,30.06851676,6.80730976,87.89062966,56.54519481
Field_3,2023-09-28,30.87054253,76.70892965,0.44075900,0.39585552,-0.39585552,0.66099099,26.34884128,9.58282233,10.06443984,Rice,90.72644332,44.30572446,48.80090557,6.85073282,68.57801888,37.26557857
Field_3,2023-10-13,30.87054253,76.70892965,0.55262093,0.55118276,-0.55118276,0.82881998,17.27472200,8.70154737,10.69852401,Rice,68.76894832,33.41640637,43.68733747,7.59000000,69.80236137,39.50860752
Field_3,2023-10-28,30.87054253,76.70892965,0.43484161,0.46585223,-0.46585223,0.65216782,22.83493734,3.70794403,9.84617941,Rice,99.79515688,53.31123470,33.61216648,6.99971081,100.00000000,35.81543428
Field_3,2023-12-11,30.87054253,76.70892965,0.40421386,0.44651955,-0.44651955,0.60622177,24.13494577,1.29060563,9.61851121,Rice,73.51542659,66.43271489,38.06114358,7.27546396,80.74809816,34.81389577
Field_3,2023-11-27,30.87054253,76.70892965,0.39764138,0.41441111,-0.41441111,0.59636583,25.84166687,0.27162958,5.25988812,Rice,65.82284538,52.13057710,53.96013994,6.67589570,88.13681479,45.38221355
Field_3,2023-12-12,30.87054253,76.70892965,0.46947320,0.47440452,-0.47440452,0.70409471,22.04453180,1.66305000,10.13593894,Rice,75.30072926,53.09326299,45.87398772,7.38995402,80.60214738,37.18211703
Field_3,2023-12-27,30.87054253,76.70892965,0.46417868,0.46772541,-0.46772541,0.69615995,22.43966876,-0.66461925,10.10395250,Rice,69.88065316,58.91041044,55.24276256,7.25344839,90.02892978,37.06735741
Field_4,2023-01-16,26.84068688,81.06703001,0.28557416,0.27781772,-0.27781772,0.42829700,33.96125062,9.82833960,13.93009541,Wheat,72.17528169,47.57505468,56.17093899,6.39237036,48.26238220,45.69519433
Field_4,2023-01-31,26.84068688,81.06703001,0.36135643,0.35495110,-0.35495110,0.54194614,29.24852825,5.98297937,6.62871968,Wheat,62.21417055,62.81338994,58.45051346,7.01861781,55.66780871,34.48004960
Field_4,2023-02-15,26.84068688,81.06703001,0.36884533,0.38795341,-0.38795341,0.55318080,27.48680321,5.69128754,6.61743034,Wheat,64.16119914,62.21342304,37.37125728,7.56875608,61.24341785,34.25053036
Field_4,2023-02-03,26.84068688,81.06703001,0.34801755,0.38263782,-0.38263782,0.52194831,27.97095166,14.82789047,6.44432725,Wheat,69.81167977,47.91148648,53.46840638,7.16744241,65.48531891,33.53067456
Field_4,2023-03-17,26.84068688,81.06703001,0.36132531,0.37701029,-0.37701029,0.54190882,28.12240746,28.98050161,12.58290174,Wheat,65.99228269,43.54118699,38.16908133,7.21231983,78.39000000,46.32115590
Field_4,2023-01-04,26.84068688,81.06703001,0.36346403,0.36747926,-0.36747926,0.54511885,28.58726122,11.62770983,6.61743034,Wheat,63.75759633,50.59718780,57.04493077,7.09937567,76.74935355,34.36528998
Field_4,2023-04-16,26.84068688,81.06703001,0.33876942,0.36989879,-0.36989879,0.50808576,28.71591248,28.18958034,6.39164370,Wheat,44.54316957,62.78598377,31.87127421,7.07931849,66.65151699,33.37418417
Field_4,2023-01-05,26.84068688,81.06703001,0.31069660,0.34758942,-0.34758942,0.46598580,30.14183059,9.59822358,13.94985174,Wheat,78.61755836,46.67072350,42.52591287,6.35946017,58.95603706,45.59086740
Field_4,2023-05-16,26.84068688,81.06703001,0.36152553,0.40796408,-0.40796408,0.54222090,26.53972708,20.72733300,6.50547780,Wheat,49.63087626,40.64254318,37.00021131,6.74824144,61.79685169,33.65586687
Field_4,2023-05-31,26.84068688,81.06703001,0.33941778,0.36341584,-0.36341584,0.50906625,29.04033834,15.40347099,6.41234081,Wheat,66.83204458,53.06290398,57.94513644,7.55035056,56.18029704,33.49937648
Field_4,2023-06-15,26.84068688,81.06703001,0.30811353,0.34346624,-0.34346624,0.46211214,30.37875840,27.66737007,6.17902794,Wheat,52.97492242,48.31761987,37.34082412,6.27334631,58.46127648,32.60216490
Field_4,2023-08-29,26.84068688,81.06703001,-0.05449171,-0.08738755,0.08738755,-0.08173595,56.08327800,31.11896722,11.62989393,Wheat,55.25335585,66.56129619,39.91548529,7.25773949,71.29413510,44.50586735
Field_4,2023-09-28,26.84068688,81.06703001,0.54029433,0.49484224,-0.49484224,0.81034134,20.27760532,13.10162185,7.89876957,Wheat,46.95184407,50.72788665,59.00466707,7.21879170,72.55730623,39.19562673
Field_4,2023-10-13,26.84068688,81.06703001,0.47321899,0.41977408,-0.41977408,0.70973915,24.79594530,12.29375330,7.47541961,Wheat,79.64100438,53.64104588,48.28504843,6.78543129,54.32976639,37.77678052
Field_4,2023-10-28,26.84068688,81.06703001,0.47103386,0.43273785,-0.43273785,0.70645046,24.15627516,27.66481088,14.70341468,Wheat,86.94680485,45.63142344,52.91305590,6.29821891,57.74707111,50.85937725
Field_4,2023-12-11,26.84068688,81.06703001,0.39513062,0.40571977,-0.40571977,0.59261478,26.31112693,6.84396523,13.92821385,Wheat,90.32000000,51.24723458,49.27511259,6.55397400,73.53675410,47.92779058
Field_4,2023-11-27,26.84068688,81.06703001,0.45131536,0.46127655,-0.46127655,0.67689332,22.90034679,20.46887335,14.43058914,Wheat,56.81440709,46.95367005,58.62859424,6.63278371,57.83387314,49.50312719
Field_4,2023-12-12,26.84068688,81.06703001,0.44288742,0.42838469,-0.42838469,0.66422967,24.66602259,8.73085950,7.18377852,Wheat,63.68802182,48.05377064,52.11795124,7.26139838,70.66905628,36.47269392
Field_4,2023-12-27,26.84068688,81.06703001,0.39013761,0.38570617,-0.38570617,0.58511243,27.38410152,5.43881559,14.79090700,Wheat,69.01503443,43.18268538,48.37001069,7.25068014,71.97650381,48.52245407
Field_5,2023-01-16,30.69708764,76.51908279,0.68193003,0.59756321,-0.59756321,1.02275460,13.58571574,0.28414654,8.92233571,Wheat,51.68960613,62.82582170,56.16476732,6.88241067,64.19813736,43.05572306
Field_5,2023-01-31,30.69708764,76.51908279,0.22166965,0.16228883,-0.16228883,0.33248886,40.51330923,-4.07563896,13.56131055,Wheat,66.81821240,35.25489561,55.96909383,6.97662237,59.31206877,44.82928083
Field_5,2023-02-15,30.69708764,76.51908279,0.75650516,0.71303881,-0.71303881,1.13463324,6.92740058,0.33686028,9.31746234,Wheat,39.72526377,64.38555768,66.86023726,7.39180875,54.78463443,43.84860771
Field_5,2023-02-03,30.69708764,76.51908279,0.73841902,0.67733292,-0.67733292,1.10750285,8.93541103,-0.10223475,9.24031857,Wheat,64.86956941,47.14133261,70.56000000,7.82000000,73.75683852,43.98423272
Field_5,2023-03-17,30.69708764,76.51908279,0.68495702,0.61773239,-0.61773239,1.02732738,12.52487532,1.15858615,12.11721678,Wheat,76.33954742,43.66024809,54.21175600,7.73414057,62.00797908,54.79250243
Field_5,2023-01-04,30.69708764,76.51908279,0.40118289,0.42730710,-0.42730710,0.60170511,25.14697222,4.37942208,8.77181128,Wheat,90.32000000,49.60732026,61.62341296,6.82076236,58.81978056,45.30918470
Field_5,2023-04-16,30.69708764,76.51908279,0.25157900,0.38424496,-0.38424496,0.37732322,28.87379864,20.22662851,5.57787098,Wheat,60.37948455,43.46461641,52.24417507,7.36714035,59.97809813,29.77490516
Field_5,2023-01-05,30.69708764,76.51908279,0.22467790,0.32470307,-0.32470307,0.33697774,32.18900573,3.42536461,13.13796058,Wheat,69.64223555,45.37309041,49.32629042,6.97203561,67.24321708,42.17937687
Field_5,2023-05-16,30.69708764,76.51908279,0.20432085,0.30223312,-0.30223312,0.30644702,33.54432348,13.55247049,13.15865769,Wheat,69.61664530,48.44213476,45.60496858,7.70950055,77.93238713,41.75163646
Field_5,2023-05-31,30.69708764,76.51908279,0.23738539,0.30718382,-0.30718382,0.35603910,32.95383483,3.18195151,12.79833983,Wheat,87.06267841,72.39973556,50.62228390,7.17877863,56.83923692,42.75317497
Field_5,2023-06-15,30.69708764,76.51908279,0.21568543,0.30606361,-0.30606361,0.32348635,33.23265688,22.69539717,12.75412328,Wheat,59.37109698,36.05278189,44.48099391,6.52678657,64.37782261,41.90812685
Field_5,2023-06-30,30.69708764,76.51908279,0.17004141,0.11740992,-0.11740992,0.25503360,43.33229535,25.48800523,13.38350356,Wheat,62.70191034,61.82436344,50.01625466,7.45734145,73.32431116,43.44173269
Field_5,2023-07-15,30.69708764,76.51908279,0.09601938,0.13700989,-0.13700989,0.14401043,43.08741300,23.09288341,31.47936263,Wheat,66.70910060,36.97587875,40.76293047,6.90920689,72.93909208,51.52706959
Field_5,2023-08-14,30.69708764,76.51908279,0.67966845,0.63531826,-0.63531826,1.01938614,11.68087522,25.61535550,15.95935291,Wheat,74.04944268,47.05343322,54.36857097,6.72524955,75.17476684,56.44086788
Field_5,2023-08-29,30.69708764,76.51908279,0.69415511,0.63624656,-0.63624656,1.04111350,11.48552153,24.43021635,8.94115126,Wheat,69.84042289,60.17228040,56.44421482,6.89674368,66.85964877,42.92009805
Field_5,2023-09-13,30.69708764,76.51908279,0.38100123,0.24794255,-0.24794255,0.57140690,34.51222301,10.61869702,15.00540432,Wheat,66.53351965,46.21603365,51.71604893,7.20499802,54.34270552,50.44206954
Field_5,2023-09-28,30.69708764,76.51908279,0.57730001,0.50820659,-0.50820659,0.86584424,19.21722882,11.03417784,8.19793688,Wheat,79.97003074,41.18389984,62.63089550,6.92233357,54.76620657,40.41625179
Field_5,2023-10-13,30.69708764,76.51908279,0.47602379,0.51169053,-0.51169053,0.71394073,20.07364447,20.15209097,7.28444173,Wheat,64.02795919,38.57162029,36.68538642,6.94641800,48.82888015,36.45182854
Field_5,2023-10-28,30.69708764,76.51908279,0.27091099,0.33213754,-0.33213754,0.40631292,31.33719631,11.74745445,5.87327518,Wheat,61.26524266,45.56913944,64.39841470,7.17115196,61.81153269,31.33980908
Field_5,2023-12-11,30.69708764,76.51908279,0.29812682,0.35905039,-0.35905039,0.44712342,29.68495667,0.99985628,6.05390450,Wheat,66.05638009,66.00741672,63.60606888,7.75776354,78.39000000,31.96577065
Field_5,2023-11-27,30.69708764,76.51908279,0.45914975,0.51397462,-0.51397462,0.68860697,20.12934151,6.49681671,5.67759342,Wheat,72.65820688,43.66307034,37.49038317,7.47245798,56.23666150,46.19596358
Field_5,2023-12-12,30.69708764,76.51908279,0.68501229,0.62843103,-0.62843103,1.02736992,11.97799156,4.65043200,8.87811916,Wheat,63.40134267,56.11005989,54.08031787,6.92036710,63.18028365,42.69057881
Field_5,2023-12-27,30.69708764,76.51908279,0.10241311,0.10665215,-0.10665215,0.15361122,44.57231351,-3.84588796,13.17371014,Wheat,70.68289981,46.44837174,70.56000000,6.19312762,64.50004886,41.82466531
Field_6,2023-01-31,29.21932823,76.20313269,0.73490893,0.66847268,-0.66847268,1.10223560,9.42370171,8.47034112,16.58120697,Wheat,60.91682320,38.52662882,59.31918469,7.16922671,60.39359242,58.40221412
Field_6,2023-02-15,29.21932823,76.20313269,0.26560596,0.28603086,-0.28603086,0.39838150,33.74578476,12.47520171,5.93442573,Wheat,69.04658625,55.64926869,45.53670405,6.87759813,69.75904280,31.86144372
Field_6,2023-02-03,29.21932823,76.20313269,0.68603256,0.65308456,-0.65308456,1.02892599,10.70865431,11.05547710,8.82919872,Wheat,52.06214639,50.38499919,55.28862886,7.28057508,61.72979066,42.34629995
Field_6,2023-03-17,29.21932823,76.20313269,0.55491700,0.54630049,-0.54630049,0.83228048,17.50058232,14.55577761,16.97539282,Wheat,57.55301166,70.33301370,44.55024829,7.78259985,78.21170075,53.58231006
Field_6,2023-01-04,29.21932823,76.20313269,0.22748045,0.37206093,-0.37206093,0.34117543,29.74208431,8.32840470,0.24366142,Wheat,49.82659846,48.11852630,61.85121286,7.82000000,76.43671233,39.47730944
Field_6,2023-04-16,29.21932823,76.20313269,0.17398553,0.31861351,-0.31861351,0.26095322,33.01768012,26.18993827,5.03880536,Wheat,64.98497084,30.76000000,58.42559482,6.92287965,67.28742849,27.81355892
Field_6,2023-01-05,29.21932823,76.20313269,0.15796762,0.29559683,-0.29559683,0.23692591,34.35660140,13.70844953,3.90987212,Wheat,83.37369642,51.06543157,52.12170738,6.76777911,62.96538005,37.98543437
Field_6,2023-05-16,29.21932823,76.20313269,0.12714004,0.23834157,-0.23834157,0.19069161,37.59514297,16.00649540,13.06552070,Wheat,58.35171768,48.86127279,59.78330427,6.42883794,57.44781126,39.71726137
Field_6,2023-05-31,29.21932823,76.20313269,0.16176225,0.27085997,-0.27085997,0.24262029,35.58101908,29.46923980,13.06552070,Wheat,74.20482389,51.90352267,34.75103709,6.39804776,63.20598546,40.55187679
Field_6,2023-06-15,29.21932823,76.20313269,0.14536014,0.24800375,-0.24800375,0.21801919,36.91567009,30.85686925,0.68676772,Wheat,63.61314506,37.22849756,54.75588208,6.40657398,60.96565337,38.24625169
Field_6,2023-06-30,29.21932823,76.20313269,0.07389502,0.13038132,-0.13038132,0.11082193,43.65184992,32.99342308,12.51516575,Wheat,65.19478870,61.25111625,46.95285852,7.58579582,58.53226058,41.17783836
Field_6,2023-08-14,29.21932823,76.20313269,0.48558649,0.48582392,-0.48582392,0.72829199,21.29684428,29.92105643,6.51206324,Wheat,56.46979860,51.90015579,35.86559333,7.44552471,78.39000000,47.65654057
Field_6,2023-08-29,29.21932823,76.20313269,0.56495412,0.54130129,-0.54130129,0.84733252,17.65335555,27.98986495,8.00978134,Wheat,82.22215742,55.26460316,45.10836978,7.08341476,62.41747258,39.41471328
Field_6,2023-09-13,29.21932823,76.20313269,0.64285415,0.60450011,-0.60450011,0.96415352,13.63056430,28.14502278,16.96034038,Wheat,61.78387959,54.15681982,57.88157848,6.72768418,57.30849593,56.05485825
Field_6,2023-09-28,29.21932823,76.20313269,0.57341012,0.56231806,-0.56231806,0.86001473,16.49378752,23.48481218,8.03612312,Wheat,56.16851854,45.10832118,49.39383092,7.02562216,49.09197998,39.41471328
Field_6,2023-10-13,29.21932823,76.20313269,0.52660822,0.53846134,-0.53846134,0.78981744,18.18999784,11.59945622,7.67392370,Wheat,70.25215276,62.09384484,57.78709619,7.53985312,72.17612968,37.98543437
Field_6,2023-10-28,29.21932823,76.20313269,0.27330322,0.34226879,-0.34226879,0.40990687,30.79541909,24.82967037,5.87139363,Wheat,62.98270870,48.05764263,50.92780156,6.73411323,68.65659142,31.27721292
Field_6,2023-12-11,29.21932823,76.20313269,0.11347766,0.12830446,-0.12830446,0.17019872,43.35365088,6.65431672,4.94566837,Wheat,57.72330503,55.96712841,57.16666432,7.09398526,60.86518342,28.94028974
Field_6,2023-11-27,29.21932823,76.20313269,0.31619622,0.36204393,-0.36204393,0.47423195,29.34755299,26.57090094,3.16383541,Wheat,79.20236818,48.83316009,48.81518677,6.97698728,68.20615719,43.05572306
Field_6,2023-12-12,29.21932823,76.20313269,0.39217232,0.41384201,-0.41384201,0.58817586,25.92658203,6.52339343,13.94891096,Wheat,81.89433040,31.99305742,52.54878710,6.99626014,65.20798760,47.69827134
Field_6,2023-12-27,29.21932823,76.20313269,0.59455452,0.55987720,-0.55987720,0.89171188,16.40248324,14.71720516,16.61695652,Wheat,90.32000000,59.94895597,52.10218534,6.77496486,68.65680473,54.69860819
Field_7,2023-01-01,23.54870209,77.36134150,0.76260722,0.68053454,-0.68053454,1.14376007,8.52489084,14.48249821,9.44823044,Maize,50.70459479,64.50426106,38.86184901,6.72241129,74.80270922,44.37024235
Field_7,2023-01-16,23.54870209,77.36134150,0.77071525,0.70347905,-0.70347905,1.15593294,7.27043761,14.41205366,9.46704600,Maize,94.68324795,42.55574860,24.79270589,5.59471142,63.80160907,43.99466541
Field_7,2023-01-31,23.54870209,77.36134150,0.68376770,0.59525492,-0.59525492,1.02553452,13.68481938,10.76787097,8.94491437,Maize,82.87200180,54.86067333,29.67911562,5.28225090,78.73278474,43.16004999
Field_7,2023-02-15,23.54870209,77.36134150,0.78682436,0.74155970,-0.74155970,1.18009268,5.16135312,12.33596592,9.52161110,Maize,71.31678061,48.79549680,27.28616826,5.78530953,71.51774987,43.87990579
Field_7,2023-02-03,23.54870209,77.36134150,0.66876062,0.66773155,-0.66773155,1.00301914,10.13711104,5.97925171,8.64010240,Maize,75.63583257,50.87530538,39.30582654,6.20836924,59.77672996,41.44908837
Field_7,2023-03-17,23.54870209,77.36134150,0.55228813,0.57582832,-0.57582832,0.82831111,16.01961073,25.37069921,15.15404720,Maize,89.25042332,62.47189766,47.39670021,6.00779254,73.66414375,52.00697346
Field_7,2023-01-04,23.54870209,77.36134150,0.23446658,0.35622875,-0.35622875,0.35165321,30.47919582,5.98626731,5.49131944,Maize,97.57346341,56.57850834,37.93798577,6.51019869,70.00410371,29.55581862
Field_7,2023-04-16,23.54870209,77.36134150,0.18824292,0.30572784,-0.30572784,0.28232951,33.53006951,28.00610409,5.19685602,Maize,82.21042384,47.58615896,36.06153753,6.56758423,67.81328361,28.56471280
Field_7,2023-01-05,23.54870209,77.36134150,0.22967859,0.31982766,-0.31982766,0.34447227,32.38689415,6.81980501,13.23674224,Maize,85.24600109,52.14016785,24.40767107,5.02000000,69.55236605,42.50279034
Field_7,2023-05-16,23.54870209,77.36134150,0.19904739,0.28545483,-0.28545483,0.29852457,34.45495368,21.56425448,12.75506406,Maize,64.76024925,37.90788888,61.25894301,6.30918892,49.23601759,41.58471338
Field_7,2023-05-31,23.54870209,77.36134150,0.21740269,0.32122703,-0.32122703,0.32605609,32.44080792,12.97547015,5.42076111,Maize,81.42524321,66.70468387,43.22357905,6.26732010,77.55012457,29.45149169
